1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,A,A,D,A,B,B,A,B,B,B,B,D,A,A,B,A,A,A,A,B,B,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,A,A,D,A,B,B,A,B,D,B,B,D,A,A,B,A,A,A,A,B,A,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,A,A,D,B,A,B,A,B,D,B,B,D,A,A,B,A,A,A,A,B,A,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,A,A,D,B,B,B,A,B,C,B,B,D,A,A,B,A,A,A,A,B,A,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,A,A,D,B,B,B,A,B,C,B,B,D,A,A,B,A,A,A,B,B,A,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,A,A,D,C,A,B,B,B,D,B,C,D,A,A,B,A,C,A,C,B,A,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,A,A,D,C,B,B,A,B,C,B,B,D,A,A,B,A,A,A,B,B,A,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,A,A,D,C,B,B,A,B,D,B,B,D,A,A,B,A,A,A,B,B,B,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,A,A,D,C,B,C,B,C,C,C,C,D,A,A,B,A,C,B,B,B,B,A,C,1
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,B,A,D,C,B,B,B,B,C,B,C,D,A,A,B,A,C,A,B,B,B,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,B,A,D,C,B,B,B,B,D,B,B,D,A,A,B,A,C,A,B,A,A,A,C,0
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,D,A,D,C,B,C,B,C,C,C,C,D,A,A,B,A,C,B,C,B,B,A,C,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,D,A,A,A,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,A,A,A,A,B,B,A,A,D,B,A,D,A,A,B,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,A,A,D,A,A,A,A,A,D,A,A,D,A,A,A,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,A,A,D,A,A,A,A,A,D,A,A,D,A,A,B,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,A,A,D,A,A,A,A,A,D,A,A,D,A,A,B,C,A,A,A,A,A,A,A,1
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,A,A,D,A,A,B,A,A,D,B,A,D,A,A,B,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,A,A,D,A,B,B,A,B,C,B,B,D,A,A,B,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,A,A,D,B,A,B,A,B,D,B,B,D,A,A,B,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,B,A,D,A,A,A,A,A,D,A,A,D,A,A,B,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,B,A,D,A,A,B,A,A,D,B,A,D,A,A,A,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,B,A,D,A,A,B,A,B,D,B,B,D,A,A,B,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,A,B,A,D,B,A,B,A,B,D,B,B,D,A,A,B,C,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,B,A,A,A,A,A,B,A,B,D,B,B,D,A,A,A,C,A,A,A,A,A,A,B,0
A,A,A,A,A,A,A,C,A,A,A,D,A,A,A,B,A,A,A,B,A,B,A,B,D,B,B,D,A,A,B,C,A,A,A,A,A,A,B,0
