@relation 'KC3_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 4 {A,C,D}
@attribute 16 {C,A,B,D}
@attribute 39 {C,A,B,D}
@attribute 22 {B,C,A,D}
@attribute 26 {B,C,A,D}
@attribute 2 {A,B,C,D}
@attribute 24 {B,C,A,D}
@attribute 27 {B,C,A,D}
@attribute 7 {A,B,C,D}
@attribute 14 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute 20 {A,B,C,D}
@attribute 28 {D,B,C,A}
@attribute 33 {A,C,B,D}
@attribute 34 {A,B,C,D}
@attribute 23 {A,B,C,D}
@attribute 37 {B,A,C,D}
@attribute 38 {A,D,C}
@attribute 35 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 31 {B,A,C,D}
@attribute 3 {A,B,C,D}
@attribute 18 {A,B,C,D}
@attribute 11 {A,B,C,D}
@attribute 21 {B,A,C,D}
@attribute 36 {B,A,C,D}
@attribute 8 {A,C,D,B}
@attribute 6 {A,C,D}
@attribute 30 {A,C,D}
@attribute 5 {A,C,D}
@attribute 32 {A,C,D,B}
@attribute 9 {A,C,D}
@attribute 29 {A,C,D}
@attribute 12 {D,A,B,C}
@attribute 25 {B,D,C,A}
@attribute 19 {D,A,C,B}
@attribute 15 {A,D,C}
@attribute 10 {A,C,D}
@attribute 17 {A,B,D}
@attribute class {FALSE,TRUE}

@data
A,C,C,B,B,A,B,B,A,A,A,A,D,A,A,A,B,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,D,B,D,A,A,A,FALSE
A,C,C,B,B,A,B,B,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,D,D,D,A,A,A,FALSE
A,C,C,B,B,A,B,B,A,A,A,B,D,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,D,D,D,A,A,A,FALSE
A,C,C,B,B,A,B,B,A,A,A,B,D,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,D,C,D,A,A,A,FALSE
A,C,C,B,B,A,B,B,A,A,A,B,D,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,D,C,D,A,A,A,FALSE
A,C,C,B,B,A,B,C,A,A,A,C,D,C,A,B,A,A,C,A,B,A,A,A,A,B,A,A,A,A,A,A,A,D,D,D,A,A,A,FALSE
A,C,C,B,B,A,B,B,A,A,A,C,D,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,D,C,D,A,A,A,FALSE
A,C,C,B,B,A,B,B,A,A,A,C,D,A,A,A,B,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,D,D,D,A,A,A,FALSE
A,C,C,C,C,A,C,C,A,A,A,C,D,C,B,B,B,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,D,C,D,A,A,A,TRUE
A,C,C,B,B,A,B,C,A,A,A,C,D,C,A,B,B,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,D,C,D,A,A,B,FALSE
A,C,C,B,B,A,B,B,A,A,A,C,D,C,A,B,A,A,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,D,D,D,A,A,B,FALSE
A,C,C,C,C,A,C,C,A,A,A,C,D,C,B,B,B,A,C,A,B,A,A,A,B,B,A,A,A,A,A,A,A,D,C,D,A,A,D,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,C,A,A,D,D,A,A,A,A,FALSE
A,A,A,B,B,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,B,A,C,A,A,A,C,A,A,D,D,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,TRUE
A,A,A,B,B,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,A,A,B,B,A,B,B,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,B,A,C,A,A,A,C,A,A,D,C,D,A,A,A,FALSE
A,A,A,B,B,A,B,B,A,A,A,B,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,B,FALSE
A,A,A,B,B,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,B,FALSE
A,A,A,B,B,A,B,B,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,B,FALSE
A,A,A,B,B,A,B,B,A,A,A,B,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,B,FALSE
A,B,B,B,B,A,B,B,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,C,A,A,D,D,A,A,A,A,FALSE
A,B,B,B,B,A,B,B,A,A,A,B,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,A,A,A,A,FALSE
A,B,B,B,B,A,B,B,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,B,B,B,B,A,B,B,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,B,B,A,A,A,B,B,A,A,A,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,B,B,B,B,A,B,B,A,A,A,B,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,B,B,B,B,A,B,B,A,A,A,B,D,A,A,A,A,A,A,A,B,A,A,A,A,B,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,B,B,B,B,A,B,B,A,A,A,B,D,A,A,A,A,A,A,A,B,A,A,A,B,B,C,A,A,A,C,A,A,D,C,D,A,A,A,FALSE
A,B,B,B,B,A,B,B,A,A,A,C,D,A,A,A,A,A,A,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,B,B,B,B,A,B,B,A,A,A,C,D,A,A,A,A,A,A,A,B,A,A,A,A,B,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
A,B,B,B,B,A,B,B,A,A,A,C,D,A,A,A,A,A,B,A,B,A,A,A,A,A,C,A,A,A,C,A,A,D,D,D,A,A,A,FALSE
