@relation 'KC3_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 24 {B,C,A,D}
@attribute 27 {B,C,A,D}
@attribute 2 {A,B,C,D}
@attribute 26 {B,C,A,D}
@attribute 22 {B,C,A,D}
@attribute 34 {A,B,C,D}
@attribute 39 {C,A,B,D}
@attribute 16 {C,A,B,D}
@attribute 33 {A,C,B,D}
@attribute 23 {A,B,C,D}
@attribute 37 {B,A,C,D}
@attribute 20 {A,B,C,D}
@attribute 35 {A,B,C,D}
@attribute 4 {A,C,D}
@attribute 3 {A,B,C,D}
@attribute 7 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute 18 {A,B,C,D}
@attribute 11 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 31 {B,A,C,D}
@attribute 36 {B,A,C,D}
@attribute 21 {B,A,C,D}
@attribute 28 {D,B,C,A}
@attribute 38 {A,D,C}
@attribute 8 {A,C,D,B}
@attribute 32 {A,C,D,B}
@attribute 30 {A,C,D}
@attribute 6 {A,C,D}
@attribute 25 {B,D,C,A}
@attribute 29 {A,C,D}
@attribute 9 {A,C,D}
@attribute 14 {A,B,C,D}
@attribute 5 {A,C,D}
@attribute 19 {D,A,C,B}
@attribute 12 {D,A,B,C}
@attribute 10 {A,C,D}
@attribute 15 {A,D,C}
@attribute 17 {A,B,D}
@attribute class {FALSE,TRUE}

@data
B,B,A,B,B,A,C,C,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,A,B,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,C,C,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,D,A,A,A,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,C,C,A,A,A,B,A,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,A,C,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,C,C,A,A,A,B,B,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,A,C,A,A,A,A,D,D,A,A,A,FALSE
B,C,A,B,B,A,C,C,C,B,A,C,C,A,A,A,A,A,A,A,B,B,A,D,A,A,A,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,C,C,A,A,A,C,B,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,A,C,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,C,C,A,A,B,C,B,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
C,C,A,C,C,B,C,C,C,B,B,C,B,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,A,C,A,A,A,A,D,D,A,A,A,TRUE
B,C,A,B,B,A,C,C,C,B,B,C,B,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,A,C,A,A,A,A,D,D,A,A,B,FALSE
B,B,A,B,B,A,C,C,C,B,A,C,B,A,A,A,A,A,A,A,B,A,B,D,A,A,A,A,A,D,A,A,A,A,D,D,A,A,B,FALSE
C,C,A,C,C,B,C,C,C,B,B,C,C,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,A,C,A,A,A,A,D,D,A,A,D,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,C,C,A,A,D,A,A,A,A,A,D,A,A,A,FALSE
A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,D,A,C,C,A,A,D,A,A,A,A,A,D,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,TRUE
A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,D,A,C,C,A,A,C,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,B,FALSE
A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,B,FALSE
B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,B,FALSE
B,B,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,B,FALSE
B,B,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,C,C,A,A,D,A,A,A,A,A,D,A,A,A,FALSE
B,B,A,B,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,A,D,A,A,A,FALSE
B,B,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B,B,B,D,A,C,C,A,A,C,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,B,B,A,A,A,C,A,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,B,B,A,A,A,C,A,A,A,A,A,A,A,A,B,B,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
B,B,A,B,B,A,B,B,A,A,A,C,B,A,A,A,A,A,A,A,B,A,A,D,A,C,C,A,A,D,A,A,A,A,D,D,A,A,A,FALSE
