@relation 'KC3_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 2 {A,B,C,D}
@attribute 28 {D,B,C,A}
@attribute 7 {A,B,C,D}
@attribute 12 {D,A,B,C}
@attribute 15 {A,D,C}
@attribute 39 {C,A,B,D}
@attribute 14 {A,B,C,D}
@attribute 17 {A,B,D}
@attribute 18 {A,B,C,D}
@attribute 16 {C,A,B,D}
@attribute 10 {A,C,D}
@attribute 38 {A,D,C}
@attribute 8 {A,C,D,B}
@attribute 3 {A,B,C,D}
@attribute 5 {A,C,D}
@attribute 6 {A,C,D}
@attribute 19 {D,A,C,B}
@attribute 20 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute 29 {A,C,D}
@attribute 30 {A,C,D}
@attribute 31 {B,A,C,D}
@attribute 33 {A,C,B,D}
@attribute 35 {A,B,C,D}
@attribute 34 {A,B,C,D}
@attribute 27 {B,C,A,D}
@attribute 23 {A,B,C,D}
@attribute 24 {B,C,A,D}
@attribute 25 {B,D,C,A}
@attribute 4 {A,C,D}
@attribute 32 {A,C,D,B}
@attribute 13 {A,B,C,D}
@attribute 37 {B,A,C,D}
@attribute 9 {A,C,D}
@attribute 21 {B,A,C,D}
@attribute 22 {B,C,A,D}
@attribute 26 {B,C,A,D}
@attribute 11 {A,B,C,D}
@attribute 36 {B,A,C,D}
@attribute class {FALSE,TRUE}

@data
A,D,A,D,A,C,A,A,A,C,A,A,A,A,A,A,D,A,A,A,A,B,A,A,A,B,A,B,B,A,A,A,B,A,B,B,B,A,B,FALSE
A,D,A,D,A,C,A,A,A,C,A,A,A,A,A,A,D,A,A,A,A,B,A,A,A,B,A,B,D,A,A,A,A,A,B,B,B,A,B,FALSE
A,D,A,D,A,C,A,A,A,C,A,A,A,A,A,A,D,B,A,A,A,B,A,A,A,B,A,B,D,A,A,A,A,A,A,B,B,A,B,FALSE
A,D,A,D,A,C,A,A,A,C,A,A,A,A,A,A,D,B,A,A,A,B,A,A,A,B,A,B,C,A,A,A,A,A,B,B,B,A,B,FALSE
A,D,A,D,A,C,A,A,A,C,A,A,A,A,A,A,D,B,A,A,A,B,A,B,A,B,A,B,C,A,A,A,A,A,B,B,B,A,B,FALSE
A,D,A,D,A,C,A,A,A,C,A,A,A,A,A,A,D,C,A,A,A,B,C,C,A,C,B,B,D,A,A,A,A,A,A,B,B,A,B,FALSE
A,D,A,D,A,C,A,A,A,C,A,A,A,A,A,A,D,C,A,A,A,B,A,B,A,B,A,B,C,A,A,A,A,A,B,B,B,A,B,FALSE
A,D,A,D,A,C,A,A,A,C,A,A,A,A,A,A,D,C,A,A,A,B,A,B,A,B,A,B,D,A,A,A,B,A,B,B,B,A,B,FALSE
A,D,A,D,A,C,A,A,A,C,A,A,A,A,A,A,D,C,A,A,A,B,C,B,B,C,B,C,C,A,A,A,B,A,B,C,C,A,B,TRUE
A,D,A,D,A,C,A,B,A,C,A,A,A,A,A,A,D,C,A,A,A,B,C,B,A,C,B,B,C,A,A,A,B,A,B,B,B,A,B,FALSE
